run_id,run_name,method,sparsity_coeff,state,L0_layer_2,mse_layer_2,explained_var_layer_2,explained_var_ln_layer_2,L0_layer_4,mse_layer_4,explained_var_layer_4,explained_var_ln_layer_4,L0_layer_6,mse_layer_6,explained_var_layer_6,explained_var_ln_layer_6
kmbni1sf,hard_concrete_sparsity_coeff_0.1,HardConcrete,0.1,finished,0.0,0.0033970506954938175,-28699529314304.0,-18664472444928.0,0.0,0.0008076778333634138,-71779548659712.0,-30527990005760.0,0.0,0.0004624461673665792,-36823728390144.0,-25175330390016.0
suwi9vpk,hard_concrete_sparsity_coeff_0.1,HardConcrete,0.1,finished,0.0,0.0033970506954938175,-28699529314304.0,-18664472444928.0,0.0,0.0008076778333634138,-71779548659712.0,-30527990005760.0,0.0,0.0004624461673665792,-36823728390144.0,-25175330390016.0
kzf6ipjv,hard_concrete_sparsity_coeff_0.5,HardConcrete,0.5,finished,0.0,0.0033969696052372454,-25321428484096.0,-17278863147008.0,0.0,0.0008075428707525135,-57432155881472.0,-29370286604288.0,0.0,0.00046242765500210226,-44530023792640.0,-32649653518336.0
dr3xdrin,hard_concrete_sparsity_coeff_0.5,HardConcrete,0.5,finished,0.0,0.0033969696052372454,-25321428484096.0,-17278863147008.0,0.0,0.0008075428707525135,-57432155881472.0,-29370286604288.0,0.0,0.00046242765500210226,-44530023792640.0,-32649653518336.0
inee9267,hard_concrete_sparsity_coeff_1,HardConcrete,1.0,finished,0.0,0.0033969640266150237,-38692383096832.0,-17799483228160.0,0.0,0.000807517773937434,-68256756924416.0,-32944620044288.0,0.0,0.0004624242230784148,-48955568160768.0,-29561515409408.0
le30dzph,hard_concrete_sparsity_coeff_1,HardConcrete,1.0,finished,0.0,0.0033969640266150237,-38692383096832.0,-17799483228160.0,0.0,0.000807517773937434,-68256756924416.0,-32944620044288.0,0.0,0.0004624242230784148,-48955568160768.0,-29561515409408.0
moo52khw,hard_concrete_sparsity_coeff_5,HardConcrete,5.0,finished,0.0,0.003396948324516416,-26527372673024.0,-18914830450688.0,0.0,0.0008074050745926798,-61807754477568.0,-26854736003072.0,0.0,0.0004624114779289812,-71335598358528.0,-27520923598848.0
7s4b1r6s,hard_concrete_sparsity_coeff_5,HardConcrete,5.0,finished,0.0,0.003396948324516416,-26527372673024.0,-18914830450688.0,0.0,0.0008074050745926798,-61807754477568.0,-26854736003072.0,0.0,0.0004624114779289812,-71335598358528.0,-27520923598848.0
l23gobsx,hard_concrete_sparsity_coeff_10,HardConcrete,10.0,finished,0.0,0.003396938890218734,-42754323251200.0,-22141317677056.0,0.0,0.0008072652248665691,-93691196735488.0,-44259793174528.0,0.0,0.0004623929737135768,-37286313984000.0,-19483622113280.0
4xiyyozj,hard_concrete_sparsity_coeff_10,HardConcrete,10.0,finished,0.0,0.003396938890218734,-42754323251200.0,-22141317677056.0,0.0,0.0008072652248665691,-93691196735488.0,-44259793174528.0,0.0,0.0004623929737135768,-37286313984000.0,-19483622113280.0
